case_id,params_json,mapping_name,source_api,target_api,source_field,target_field,source_value_json,target_value_json,status,message
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_017,old_order_api,new_order_summary_api,order.items[1].title,summary.lines[1].productName,null,"""西湖龙井茶叶""",FAIL,Missing object key: order
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_018,old_order_api,new_profile_api,order.requested_customer_id,profile.identity.id,null,"""C1001""",FAIL,Missing object key: order
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_019,old_order_api,new_order_summary_api,order.items[1].price,summary.lines[1].unitPrice,null,120.0,FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_001,old_order_api,new_order_summary_api,order.id,summary.orderId,null,"""O9002""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_002,old_customer_api,new_profile_api,data.contact.address.district,profile.contact.primaryAddress.district,null,"""浦东新区""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_003,old_customer_api,new_profile_api,data.contact.address.city,profile.contact.primaryAddress.city,null,"""上海市""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_004,old_customer_api,new_profile_api,data.customer_id,profile.identity.id,null,"""C1002""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_005,old_customer_api,new_profile_api,data.birth_date,profile.identity.birthDate,null,"""1990-05-28""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_006,old_customer_api,new_profile_api,data.customer_name,profile.identity.fullName,null,"""张伟""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_007,old_customer_api,new_profile_api,data.contact.email,profile.contact.emailAddress,null,"""zhang.wei@example.com""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_008,old_customer_api,new_profile_api,data.english_name,profile.identity.displayName,null,"""ZHANG WEI""",FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_009,old_order_api,new_order_summary_api,order.items[0].sku,summary.lines[0].productCode,null,"""SKU-CN-001""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_010,old_order_api,new_order_summary_api,order.items[1].sku,summary.lines[1].productCode,null,"""SKU-CN-002""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_011,old_order_api,new_order_summary_api,order.items[0].price,summary.lines[0].unitPrice,null,88.8,FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_012,old_customer_api,new_profile_api,data.vip,profile.flags.isVip,null,true,FAIL,Missing object key: data
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_013,old_order_api,new_order_summary_api,order.currency,summary.payment.currencyCode,null,"""CNY""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_014,old_order_api,new_order_summary_api,order.items[0].title,summary.lines[0].productName,null,"""高级茶杯""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_015,old_order_api,new_order_summary_api,order.total_amount,summary.payment.total,null,200.0,FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_016,old_order_api,new_order_summary_api,order.created_at,summary.placedDate,null,"""28-05-2026""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_017,old_order_api,new_order_summary_api,order.items[1].title,summary.lines[1].productName,null,"""西湖龙井茶叶""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_018,old_order_api,new_profile_api,order.requested_customer_id,profile.identity.id,null,"""C1002""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_019,old_order_api,new_order_summary_api,order.items[1].price,summary.lines[1].unitPrice,null,120.0,FAIL,Missing object key: order
